label,mid,display_name
73,/m/068hy,"Domestic animals, pets"
307,/m/0k4j,"Car"
308,/m/0912c9,"Vehicle horn, car horn, honking"
314,/t/dd00134,"Car passing by"
316,/m/07r04,"Truck"
318,/m/05x_td,"Air horn, truck horn"
322,/m/03j1ly,"Emergency vehicle"
347,/m/01j4z9,"Chainsaw"
353,/m/07q2z82,"Accelerating, revving, vroom"
396,/m/03kmc9,"Siren"
424,/m/0_ksk,"Power tool"
427,/m/032s66,"Gunshot, gunfire"
1001,/c/a_1001,556 gunshots
1002,/c/a_1002,Brommer Alarm
1003,/c/a_1003,Brommer
1004,/c/a_1004,Claxons
1005,/c/a_1005,Dichtklappende autodeuren
1006,/c/a_1006,"Luide mensen (schreeuwen, enz)"
1007,/c/a_1007,Motoren
1008,/c/a_1008,Terrasgeluide (stille mensen)
1009,/c/a_1009,Versterkte muziek
