label;proportion_train_samples;proportion_eval_samples;description;old_label;total_count_train;expected_count_train;actual_count_train;total_count_eval;expected_count_eval;actual_count_eval;display_name;index
1;1.0;1.0;Silence;1000;208;208.0;208;51;51.0;51;Silence;1
2;1.0;1.0;556 gunshots;1001;13034;13034.0;13034;1323;1323.0;1323;556 gunshots;2
3;1.0;1.0;Brommer Alarm;1002;8295;8295.0;8295;48;48.0;48;Brommer Alarm;3
4;1.0;1.0;Brommer;1003;13031;13031.0;13031;1143;1143.0;1143;Brommer;4
5;1.0;1.0;Claxons;1004;11070;11070.0;11070;180;180.0;180;Claxons;5
6;1.0;1.0;Dichtklappende autodeuren;1005;11303;11303.0;11303;225;225.0;225;Dichtklappende autodeuren;6
7;1.0;1.0;Luide mensen (schreeuwen enz);1006;12563;12563.0;12563;996;996.0;996;Luide mensen (schreeuwen enz);7
8;1.0;1.0;Motoren;1007;10112;10112.0;10112;66;66.0;66;Motoren;8
9;1.0;1.0;Terrasgeluide (stille mensen);1008;12421;12421.0;12421;819;819.0;819;Terrasgeluide (stille mensen);9
10;1.0;1.0;Versterkte muziek;1009;9568;9568.0;9568;51;51.0;51;Versterkte muziek;10
