label;proportion_train_samples;proportion_eval_samples;description;old_label;total_count_train;expected_count_train;actual_count_train;total_count_eval;expected_count_eval;actual_count_eval;display_name;index
0;0.6;0.6;556 gunshots;1001;1724;1034.3999999999999;1035;1780;1068.0;1068;556 gunshots;0
1;5.0;5.0;Brommer Alarm;1002;44;220.0;176;48;240.0;192;Brommer Alarm;1
2;1.0;1.0;Brommer;1003;1596;1596.0;1596;1652;1652.0;1652;Brommer;2
3;4.0;4.0;Claxons;1004;216;864.0;864;312;1248.0;1248;Claxons;3
4;3.0;3.0;Dichtklappende autodeuren;1005;300;900.0;900;356;1068.0;1068;Dichtklappende autodeuren;4
5;0.8;0.8;Luide mensen (schreeuwen enz);1006;1296;1036.8;1037;1240;992.0;992;Luide mensen (schreeuwen enz);5
6;10.0;10.0;Motoren;1007;108;1080.0;432;96;960.0;384;Motoren;6
7;1.0;1.0;Terrasgeluide (stille mensen);1008;1188;1188.0;1188;956;956.0;956;Terrasgeluide (stille mensen);7
8;20.0;20.0;Versterkte muziek;1009;52;1040.0;208;84;1680.0;336;Versterkte muziek;8
9;0.3;0.3;Car;307;4140;1242.0;2036;3820;1146.0;1866;Car;9
10;5.0;5.0;Vehicle horn | car horn | honking;308;196;980.0;784;200;1000.0;800;Vehicle horn | car horn | honking;10
11;0.2;0.2;Car passing by;314;5180;1036.0;1753;5096;1019.2;1767;Car passing by;11
12;1.3;1.3;Race car | auto racing;315;752;977.6;978;744;967.2;968;Race car | auto racing;12
13;1.0;1.0;Emergency vehicle;322;1040;1040.0;1599;1092;1092.0;1585;Emergency vehicle;13
14;8.0;8.0;Air horn | truck horn;318;140;1120.0;560;60;480.0;240;Air horn | truck horn;14
15;0.7;0.7;Aircraft;335;1496;1047.2;1094;1460;1021.9999999999999;1040;Aircraft;15
16;0.2;0.2;Helicopter;339;5436;1087.2;1979;5156;1031.2;1800;Helicopter;16
17;10.0;10.0;Bicycle;341;40;400.0;160;56;560.0;224;Bicycle;17
18;0.8;0.8;Engine;343;1288;1030.4;1306;1368;1094.4;1357;Engine;18
19;0.5;0.5;Chainsaw;347;2248;1124.0;2006;2464;1232.0;2430;Chainsaw;19
20;5.0;5.0;Engine starting;351;192;960.0;768;144;720.0;576;Engine starting;20
21;1.2;1.2;Accelerating | revving | vroom;353;856;1027.2;1069;912;1094.3999999999999;1146;Accelerating | revving | vroom;21
22;4.0;4.0;Siren;396;248;992.0;992;200;800.0;800;Siren;22
23;4.0;4.0;Power tool;424;260;1040.0;1040;356;1424.0;1424;Power tool;23
24;50.0;50.0;Explosion;426;20;1000.0;80;28;1400.0;112;Explosion;24
25;0.2;0.2;Gunshot | gunfire;427;5504;1100.8;1116;5360;1072.0;1151;Gunshot | gunfire;25
