label;aps
556 gunshots;0.9869242397778831
Brommer Alarm;0.0
Brommer;0.7031525039810955
Claxons;0.5445801200980369
Dichtklappende autodeuren;0.6620048324327678
Luide mensen (schreeuwen enz);0.6570119580171636
Motoren;0.42204502462641186
Terrasgeluide (stille mensen);0.48877805986267975
Versterkte muziek;0.1289903019428752
Car;0.3739755823097101
Vehicle horn | car horn | honking;0.3092047156023461
Car passing by;0.5650683768264795
Race car | auto racing;0.36376690029265846
Emergency vehicle;0.7006242471863297
Air horn | truck horn;0.1028188471427726
Aircraft;0.4729724718571832
Helicopter;0.7719219132839581
Bicycle;0.058275399353270495
Engine;0.3631858509545552
Chainsaw;0.9167066459543853
Engine starting;0.22617972862694555
Accelerating | revving | vroom;0.3886260378177908
Siren;0.4012355176538459
Power tool;0.5199434956639021
Explosion;0.011037110513310668
Gunshot | gunfire;0.8354401087633934
