label;aps
Domestic animals | pets;0.2825965546729966
Car;0.25314526709558366
Vehicle horn | car horn | honking;0.07133178800744694
Car passing by;0.547681998133799
Truck;0.8690069427177105
Air horn | truck horn;0.03731527115968819
Emergency vehicle;0.5078913022199596
Chainsaw;0.842554201865774
Accelerating | revving | vroom;0.12090690203423625
Siren;0.06277038270102295
Power tool;0.07530249866673763
Gunshot | gunfire;0.9566417399595144
556 gunshots;0.9965199630890247
Brommer Alarm;0.6358236348158741
Brommer;0.8323369120431252
Claxons;0.6000501121099958
Dichtklappende autodeuren;0.44262802430450715
Luide mensen (schreeuwen enz);0.6445932403782416
Motoren;0.22818529086311545
Terrasgeluide (stille mensen);0.4858265783127418
Versterkte muziek;0.007873013593037097
