label;aps
Domestic animals | pets;0.3745286117561377
Car;0.23368025359456845
Vehicle horn | car horn | honking;0.0643240206003779
Car passing by;0.5202427624705612
Truck;0.8668944009868794
Air horn | truck horn;0.0366939688125659
Emergency vehicle;0.5177054648871232
Chainsaw;0.8564362797114186
Accelerating | revving | vroom;0.15602245336764523
Siren;0.07545577033944639
Power tool;0.06201061027102797
Gunshot | gunfire;0.9604244010254932
556 gunshots;0.9989868220472826
Brommer Alarm;0.5844377990203936
Brommer;0.8434157717733621
Claxons;0.5129556125777665
Dichtklappende autodeuren;0.4599446032501143
Luide mensen (schreeuwen enz);0.642305665855159
Motoren;0.19143086510179227
Terrasgeluide (stille mensen);0.5080018232168951
Versterkte muziek;0.011563466123983422
