label;aps
Domestic animals | pets;0.47446572676311394
Car;0.3290706641481883
Vehicle horn | car horn | honking;0.18095227858735116
Car passing by;0.43192660223460577
Truck;0.4527603893507832
Emergency vehicle;0.7305434683765202
Chainsaw;0.878437481004477
Accelerating | revving | vroom;0.36088088476207636
Siren;0.1989649847667947
Power tool;0.1492672963864503
Gunshot | gunfire;0.8896866241503499
556 gunshots;0.9808763544459203
Brommer Alarm;0.7517120099746535
Brommer;0.7774931691238448
Claxons;0.23554697809913372
Dichtklappende autodeuren;0.47205912138207506
Luide mensen (schreeuwen enz);0.6426439522783105
Motoren;0.08964507800749277
Terrasgeluide (stille mensen);0.5430655689954709
Versterkte muziek;0.07581393677962989
