;label;mid;display_name;source;filename;filepath
0;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;--aaILOrkII;..\data\wav_samples_youtube\bal\vid--aaILOrkII.wav
9;316;/m/07r04;Truck;wav_samples_youtube/bal;-60XojQWWoc;..\data\wav_samples_youtube\bal\vid-60XojQWWoc.wav
12;316;/m/07r04;Truck;wav_samples_youtube/bal;-8n2NqDFRko;..\data\wav_samples_youtube\bal\vid-8n2NqDFRko.wav
20;339;/m/09ct_;Helicopter;wav_samples_youtube/bal;-9ME9qMgkeY;..\data\wav_samples_youtube\bal\vid-9ME9qMgkeY.wav
21;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;-A0MTi2NMGI;..\data\wav_samples_youtube\bal\vid-A0MTi2NMGI.wav
23;316;/m/07r04;Truck;wav_samples_youtube/bal;-AIrHVeCgtM;..\data\wav_samples_youtube\bal\vid-AIrHVeCgtM.wav
29;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;-cQV8iXK3pQ;..\data\wav_samples_youtube\bal\vid-cQV8iXK3pQ.wav
31;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;-cWrzrfVdMQ;..\data\wav_samples_youtube\bal\vid-cWrzrfVdMQ.wav
38;339;/m/09ct_;Helicopter;wav_samples_youtube/bal;-D_ljLTbCK0;..\data\wav_samples_youtube\bal\vid-D_ljLTbCK0.wav
47;347;/m/01j4z9;Chainsaw;wav_samples_youtube/bal;-JbPonixXS4;..\data\wav_samples_youtube\bal\vid-JbPonixXS4.wav
48;424;/m/0_ksk;Power tool;wav_samples_youtube/bal;-JbPonixXS4;..\data\wav_samples_youtube\bal\vid-JbPonixXS4.wav
49;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;-jMyzNbR7WM;..\data\wav_samples_youtube\bal\vid-jMyzNbR7WM.wav
56;350;/m/01h82_;Engine knocking;wav_samples_youtube/bal;-kRxowDMwdQ;..\data\wav_samples_youtube\bal\vid-kRxowDMwdQ.wav
64;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;-ODqYMQFwsY;..\data\wav_samples_youtube\bal\vid-ODqYMQFwsY.wav
71;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;-RAdrtCW1hI;..\data\wav_samples_youtube\bal\vid-RAdrtCW1hI.wav
73;338;/m/02l6bg;Propeller, airscrew;wav_samples_youtube/bal;-rIyGq-gIQw;..\data\wav_samples_youtube\bal\vid-rIyGq-gIQw.wav
74;339;/m/09ct_;Helicopter;wav_samples_youtube/bal;-rIyGq-gIQw;..\data\wav_samples_youtube\bal\vid-rIyGq-gIQw.wav
76;335;/m/0k5j;Aircraft;wav_samples_youtube/bal;-rIyGq-gIQw;..\data\wav_samples_youtube\bal\vid-rIyGq-gIQw.wav
77;339;/m/09ct_;Helicopter;wav_samples_youtube/bal;-tJVvrXU9MA;..\data\wav_samples_youtube\bal\vid-tJVvrXU9MA.wav
78;335;/m/0k5j;Aircraft;wav_samples_youtube/bal;-tJVvrXU9MA;..\data\wav_samples_youtube\bal\vid-tJVvrXU9MA.wav
83;347;/m/01j4z9;Chainsaw;wav_samples_youtube/bal;-UbFLKplzbE;..\data\wav_samples_youtube\bal\vid-UbFLKplzbE.wav
85;316;/m/07r04;Truck;wav_samples_youtube/bal;-x70B12Mb-8;..\data\wav_samples_youtube\bal\vid-x70B12Mb-8.wav
87;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;-xyxF0ahpKk;..\data\wav_samples_youtube\bal\vid-xyxF0ahpKk.wav
89;316;/m/07r04;Truck;wav_samples_youtube/bal;-zxrdL6MlKI;..\data\wav_samples_youtube\bal\vid-zxrdL6MlKI.wav
103;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;0AHA6Zz-ykw;..\data\wav_samples_youtube\bal\vid0AHA6Zz-ykw.wav
105;316;/m/07r04;Truck;wav_samples_youtube/bal;0cr9YtzgZT4;..\data\wav_samples_youtube\bal\vid0cr9YtzgZT4.wav
113;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;0EkXQKzNjkg;..\data\wav_samples_youtube\bal\vid0EkXQKzNjkg.wav
116;339;/m/09ct_;Helicopter;wav_samples_youtube/bal;0fm0oU8FO0U;..\data\wav_samples_youtube\bal\vid0fm0oU8FO0U.wav
118;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;0HDoqcA727o;..\data\wav_samples_youtube\bal\vid0HDoqcA727o.wav
131;316;/m/07r04;Truck;wav_samples_youtube/bal;0OiPtV9sd_w;..\data\wav_samples_youtube\bal\vid0OiPtV9sd_w.wav
133;347;/m/01j4z9;Chainsaw;wav_samples_youtube/bal;0pgG7Rk_eqM;..\data\wav_samples_youtube\bal\vid0pgG7Rk_eqM.wav
135;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;0qCbtn--t6Q;..\data\wav_samples_youtube\bal\vid0qCbtn--t6Q.wav
145;316;/m/07r04;Truck;wav_samples_youtube/bal;0Wt_S3ZEp_I;..\data\wav_samples_youtube\bal\vid0Wt_S3ZEp_I.wav
147;316;/m/07r04;Truck;wav_samples_youtube/bal;0XnlJAdG5e8;..\data\wav_samples_youtube\bal\vid0XnlJAdG5e8.wav
157;316;/m/07r04;Truck;wav_samples_youtube/bal;0yZgsUq3yWY;..\data\wav_samples_youtube\bal\vid0yZgsUq3yWY.wav
175;316;/m/07r04;Truck;wav_samples_youtube/bal;17bfDrV7bvY;..\data\wav_samples_youtube\bal\vid17bfDrV7bvY.wav
177;348;/t/dd00066;Medium engine (mid frequency);wav_samples_youtube/bal;17bfDrV7bvY;..\data\wav_samples_youtube\bal\vid17bfDrV7bvY.wav
181;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;1AlmsqlPdwM;..\data\wav_samples_youtube\bal\vid1AlmsqlPdwM.wav
195;316;/m/07r04;Truck;wav_samples_youtube/bal;1H1yR1SK4_M;..\data\wav_samples_youtube\bal\vid1H1yR1SK4_M.wav
213;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;1Ms9GajaUQ4;..\data\wav_samples_youtube\bal\vid1Ms9GajaUQ4.wav
221;316;/m/07r04;Truck;wav_samples_youtube/bal;1PM96hV5XMo;..\data\wav_samples_youtube\bal\vid1PM96hV5XMo.wav
230;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;1_nOAVumWY4;..\data\wav_samples_youtube\bal\vid1_nOAVumWY4.wav
246;347;/m/01j4z9;Chainsaw;wav_samples_youtube/bal;2a2I3cOHAXc;..\data\wav_samples_youtube\bal\vid2a2I3cOHAXc.wav
247;424;/m/0_ksk;Power tool;wav_samples_youtube/bal;2a2I3cOHAXc;..\data\wav_samples_youtube\bal\vid2a2I3cOHAXc.wav
248;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;2aCeBLWVL68;..\data\wav_samples_youtube\bal\vid2aCeBLWVL68.wav
255;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;2b_2jvy-qos;..\data\wav_samples_youtube\bal\vid2b_2jvy-qos.wav
259;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;2eAI-g3R7zM;..\data\wav_samples_youtube\bal\vid2eAI-g3R7zM.wav
260;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;2FkbTil7Bqk;..\data\wav_samples_youtube\bal\vid2FkbTil7Bqk.wav
269;339;/m/09ct_;Helicopter;wav_samples_youtube/bal;2IghwseoISc;..\data\wav_samples_youtube\bal\vid2IghwseoISc.wav
270;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;2jFE-MKRmPw;..\data\wav_samples_youtube\bal\vid2jFE-MKRmPw.wav
275;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;2rcRqeXnsNw;..\data\wav_samples_youtube\bal\vid2rcRqeXnsNw.wav
284;339;/m/09ct_;Helicopter;wav_samples_youtube/bal;2VA6hYWCyzY;..\data\wav_samples_youtube\bal\vid2VA6hYWCyzY.wav
289;316;/m/07r04;Truck;wav_samples_youtube/bal;2x3-zPubbpA;..\data\wav_samples_youtube\bal\vid2x3-zPubbpA.wav
308;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;3-d24x3bPe0;..\data\wav_samples_youtube\bal\vid3-d24x3bPe0.wav
320;316;/m/07r04;Truck;wav_samples_youtube/bal;3AYBZ2623dk;..\data\wav_samples_youtube\bal\vid3AYBZ2623dk.wav
323;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;3eGOQOcKkAE;..\data\wav_samples_youtube\bal\vid3eGOQOcKkAE.wav
338;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;3mor5mPSYoU;..\data\wav_samples_youtube\bal\vid3mor5mPSYoU.wav
341;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;3oF7NLTzoxc;..\data\wav_samples_youtube\bal\vid3oF7NLTzoxc.wav
350;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;3PM0O0dOCXs;..\data\wav_samples_youtube\bal\vid3PM0O0dOCXs.wav
369;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;3ZUHhSbQkGw;..\data\wav_samples_youtube\bal\vid3ZUHhSbQkGw.wav
372;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;41SLp0ph65A;..\data\wav_samples_youtube\bal\vid41SLp0ph65A.wav
377;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;49kPjptbt38;..\data\wav_samples_youtube\bal\vid49kPjptbt38.wav
380;316;/m/07r04;Truck;wav_samples_youtube/bal;4a004hkTGM0;..\data\wav_samples_youtube\bal\vid4a004hkTGM0.wav
385;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;4hwwaJQV7Go;..\data\wav_samples_youtube\bal\vid4hwwaJQV7Go.wav
387;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;4JnYkujJGRA;..\data\wav_samples_youtube\bal\vid4JnYkujJGRA.wav
389;347;/m/01j4z9;Chainsaw;wav_samples_youtube/bal;4m5SyH65GI8;..\data\wav_samples_youtube\bal\vid4m5SyH65GI8.wav
405;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;4TQzd0lB8IQ;..\data\wav_samples_youtube\bal\vid4TQzd0lB8IQ.wav
