;label;mid;display_name;source;filename;filepath
0;427;/m/032s66;Gunshot, gunfire;wav_samples_youtube/bal;--aaILOrkII;..\data\wav_samples_youtube\bal\vid--aaILOrkII.wav
1;431;/m/073cg4;Cap gun;wav_samples_youtube/bal;--aaILOrkII;..\data\wav_samples_youtube\bal\vid--aaILOrkII.wav
2;32;/t/dd00003;Male singing;wav_samples_youtube/bal;--aO5cdqSAg;..\data\wav_samples_youtube\bal\vid--aO5cdqSAg.wav
3;34;/t/dd00005;Child singing;wav_samples_youtube/bal;--aO5cdqSAg;..\data\wav_samples_youtube\bal\vid--aO5cdqSAg.wav
4;137;/m/04rlf;Music;wav_samples_youtube/bal;-24dqQM_rDk;..\data\wav_samples_youtube\bal\vid-24dqQM_rDk.wav
5;32;/t/dd00003;Male singing;wav_samples_youtube/bal;-24dqQM_rDk;..\data\wav_samples_youtube\bal\vid-24dqQM_rDk.wav
6;525;/m/06bz3;Radio;wav_samples_youtube/bal;-3IGxVTJvgI;..\data\wav_samples_youtube\bal\vid-3IGxVTJvgI.wav
7;0;/m/09x0r;Speech;wav_samples_youtube/bal;-3IGxVTJvgI;..\data\wav_samples_youtube\bal\vid-3IGxVTJvgI.wav
8;319;/m/02rhddq;Reversing beeps;wav_samples_youtube/bal;-60XojQWWoc;..\data\wav_samples_youtube\bal\vid-60XojQWWoc.wav
9;316;/m/07r04;Truck;wav_samples_youtube/bal;-60XojQWWoc;..\data\wav_samples_youtube\bal\vid-60XojQWWoc.wav
10;300;/m/07yv9;Vehicle;wav_samples_youtube/bal;-60XojQWWoc;..\data\wav_samples_youtube\bal\vid-60XojQWWoc.wav
11;319;/m/02rhddq;Reversing beeps;wav_samples_youtube/bal;-8n2NqDFRko;..\data\wav_samples_youtube\bal\vid-8n2NqDFRko.wav
12;316;/m/07r04;Truck;wav_samples_youtube/bal;-8n2NqDFRko;..\data\wav_samples_youtube\bal\vid-8n2NqDFRko.wav
13;300;/m/07yv9;Vehicle;wav_samples_youtube/bal;-8n2NqDFRko;..\data\wav_samples_youtube\bal\vid-8n2NqDFRko.wav
14;0;/m/09x0r;Speech;wav_samples_youtube/bal;-8n2NqDFRko;..\data\wav_samples_youtube\bal\vid-8n2NqDFRko.wav
15;301;/m/019jd;Boat, Water vehicle;wav_samples_youtube/bal;-99daJhXYJY;..\data\wav_samples_youtube\bal\vid-99daJhXYJY.wav
16;304;/m/02rlv9;Motorboat, speedboat;wav_samples_youtube/bal;-99daJhXYJY;..\data\wav_samples_youtube\bal\vid-99daJhXYJY.wav
17;283;/m/03m9d0z;Wind;wav_samples_youtube/bal;-99daJhXYJY;..\data\wav_samples_youtube\bal\vid-99daJhXYJY.wav
18;285;/t/dd00092;Wind noise (microphone);wav_samples_youtube/bal;-99daJhXYJY;..\data\wav_samples_youtube\bal\vid-99daJhXYJY.wav
19;345;/m/08j51y;Dental drill, dentist's drill;wav_samples_youtube/bal;-9ME9qMgkeY;..\data\wav_samples_youtube\bal\vid-9ME9qMgkeY.wav
20;339;/m/09ct_;Helicopter;wav_samples_youtube/bal;-9ME9qMgkeY;..\data\wav_samples_youtube\bal\vid-9ME9qMgkeY.wav
21;314;/t/dd00134;Car passing by;wav_samples_youtube/bal;-A0MTi2NMGI;..\data\wav_samples_youtube\bal\vid-A0MTi2NMGI.wav
22;319;/m/02rhddq;Reversing beeps;wav_samples_youtube/bal;-AIrHVeCgtM;..\data\wav_samples_youtube\bal\vid-AIrHVeCgtM.wav
23;316;/m/07r04;Truck;wav_samples_youtube/bal;-AIrHVeCgtM;..\data\wav_samples_youtube\bal\vid-AIrHVeCgtM.wav
24;300;/m/07yv9;Vehicle;wav_samples_youtube/bal;-AIrHVeCgtM;..\data\wav_samples_youtube\bal\vid-AIrHVeCgtM.wav
25;0;/m/09x0r;Speech;wav_samples_youtube/bal;-AIrHVeCgtM;..\data\wav_samples_youtube\bal\vid-AIrHVeCgtM.wav
26;97;/m/07bgp;Sheep;wav_samples_youtube/bal;-Ar7D-GARhI;..\data\wav_samples_youtube\bal\vid-Ar7D-GARhI.wav
27;96;/m/07q0h5t;Bleat;wav_samples_youtube/bal;-Ar7D-GARhI;..\data\wav_samples_youtube\bal\vid-Ar7D-GARhI.wav
