Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Begin Path
1	Spectrogram 1	1	57.541000000	61.878000000	21.1	42.3	4.337	21.2	-49.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
2	Spectrogram 1	1	74.650000000	79.942000000	22.8	37.4	5.292	14.6	-51.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
3	Spectrogram 1	1	85.412000000	87.044000000	30.9	47.2	1.632	16.3	-56.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
4	Spectrogram 1	1	269.872000000	271.583000000	23.6	37.4	1.711	13.8	-54.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
5	Spectrogram 1	1	309.628000000	313.329000000	31.7	49.6	3.701	17.9	-54.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
6	Spectrogram 1	1	479.904000000	484.002000000	25.2	63.4	4.098	38.2	-53.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
7	Spectrogram 1	1	487.742000000	489.891000000	31.7	47.2	2.149	15.5	-57.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
8	Spectrogram 1	1	504.660000000	506.331000000	30.9	48.8	1.671	17.9	-55.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
9	Spectrogram 1	1	522.764000000	525.947000000	29.3	47.2	3.183	17.9	-55.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
10	Spectrogram 1	1	530.880000000	532.512000000	31.7	47.2	1.632	15.5	-57.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
11	Spectrogram 1	1	533.685000000	535.635000000	20.3	64.2	1.950	43.9	-53.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
12	Spectrogram 1	1	539.276000000	541.424000000	23.6	39.0	2.148	15.4	-52.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
13	Spectrogram 1	1	550.544000000	554.522000000	35.8	74.8	3.978	39.0	-58.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
14	Spectrogram 1	1	557.666000000	563.594000000	27.6	67.5	5.928	39.9	-56.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
15	Spectrogram 1	1	724.400000000	727.583000000	23.6	38.2	3.183	14.6	-53.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
16	Spectrogram 1	1	897.501000000	902.873000000	20.3	48.0	5.372	27.7	-55.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
17	Spectrogram 1	1	902.475000000	905.260000000	29.3	44.7	2.785	15.4	-56.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
18	Spectrogram 1	1	903.987000000	905.658000000	45.5	64.2	1.671	18.7	-52.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
19	Spectrogram 1	1	905.697000000	908.562000000	26.0	42.3	2.865	16.3	-53.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
20	Spectrogram 1	1	906.891000000	908.960000000	43.9	133.3	2.069	89.4	-54.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
21	Spectrogram 1	1	908.124000000	912.620000000	19.5	48.0	4.496	28.5	-48.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
22	Spectrogram 1	1	910.671000000	912.501000000	38.2	130.9	1.830	92.7	-56.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
23	Spectrogram 1	1	912.859000000	914.809000000	43.1	62.6	1.950	19.5	-55.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
24	Spectrogram 1	1	914.570000000	917.554000000	27.6	48.0	2.984	20.4	-53.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
25	Spectrogram 1	1	914.650000000	916.162000000	22.8	43.9	1.512	21.1	-52.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
26	Spectrogram 1	1	930.016000000	932.363000000	28.5	43.1	2.347	14.6	-54.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
27	Spectrogram 1	1	934.751000000	936.780000000	32.5	44.7	2.029	12.2	-55.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
28	Spectrogram 1	1	940.122000000	945.732000000	25.2	62.6	5.610	37.4	-52.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
29	Spectrogram 1	1	963.119000000	967.337000000	33.3	53.7	4.218	20.4	-57.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
30	Spectrogram 1	1	978.326000000	981.509000000	26.0	63.4	3.183	37.4	-56.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
31	Spectrogram 1	1	992.928000000	999.255000000	17.1	37.4	6.327	20.3	-48.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
32	Spectrogram 1	1	1020.819000000	1024.440000000	26.0	43.9	3.621	17.9	-51.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
33	Spectrogram 1	1	1026.429000000	1030.607000000	29.3	66.7	4.178	37.4	-54.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
34	Spectrogram 1	1	1041.875000000	1044.660000000	38.2	54.5	2.785	16.3	-57.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
35	Spectrogram 1	1	1052.777000000	1056.557000000	19.5	39.0	3.780	19.5	-49.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
36	Spectrogram 1	1	1064.037000000	1066.782000000	24.4	40.7	2.745	16.3	-50.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
37	Spectrogram 1	1	1066.166000000	1068.115000000	37.0	52.4	1.949	15.4	-58.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
38	Spectrogram 1	1	1081.066000000	1083.851000000	32.5	64.2	2.785	31.7	-57.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
39	Spectrogram 1	1	1102.540000000	1104.728000000	26.8	42.3	2.188	15.5	-51.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
40	Spectrogram 1	1	1116.684000000	1118.634000000	30.1	43.9	1.950	13.8	-54.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
41	Spectrogram 1	1	1150.591000000	1154.491000000	17.9	242.3	3.900	224.4	-54.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
42	Spectrogram 1	1	1156.042000000	1161.095000000	13.8	285.4	5.053	271.6	-47.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
43	Spectrogram 1	1	1163.164000000	1168.456000000	13.8	282.1	5.292	268.3	-50.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
44	Spectrogram 1	1	1174.265000000	1175.300000000	41.5	55.3	1.035	13.8	-60.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
45	Spectrogram 1	1	1174.862000000	1177.050000000	30.1	43.9	2.188	13.8	-55.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
46	Spectrogram 1	1	1180.313000000	1184.451000000	28.5	46.3	4.138	17.8	-55.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
47	Spectrogram 1	1	1205.507000000	1209.923000000	17.9	280.5	4.416	262.6	-53.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
48	Spectrogram 1	1	1233.318000000	1238.809000000	12.2	274.0	5.491	261.8	-51.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
49	Spectrogram 1	1	1250.873000000	1254.931000000	12.2	186.2	4.058	174.0	-51.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
50	Spectrogram 1	1	1290.740000000	1292.729000000	22.8	36.6	1.989	13.8	-53.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
51	Spectrogram 1	1	1299.581000000	1301.928000000	18.7	36.6	2.347	17.9	-51.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
