Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
2	Spectrogram 2	1	95.466157627	96.326910171	0.0	3319.4	0.861	3319.4	-42.2	shot
3	Spectrogram 2	1	98.597657360	99.409224044	0.0	3082.3	0.812	3082.3	-50.4	shot
4	Spectrogram 2	1	104.959028545	105.786990516	39.5	2884.7	0.828	2845.2	-52.3	shots
5	Spectrogram 2	1	105.680421153	116.607879645	0.0	3200.8	10.927	3200.8	-46.9	shot
6	Spectrogram 2	1	117.411248686	117.911304927	0.0	2963.7	0.500	2963.7	-50.0	shot
7	Spectrogram 2	1	128.568241190	129.248645582	0.0	2805.6	0.680	2805.6	-36.1	shot
8	Spectrogram 2	1	135.872341352	136.462571669	39.5	3200.8	0.590	3161.3	-33.9	shot
9	Spectrogram 2	1	140.446626302	141.004066045	0.0	3082.3	0.557	3082.3	-32.4	shot
10	Spectrogram 2	1	149.693567922	150.218217092	0.0	2212.9	0.525	2212.9	-33.6	shot
11	Spectrogram 2	1	262.788254609	263.091567410	0.0	1816.2	0.303	1816.2	-63.3	shot
12	Spectrogram 2	1	299.159766995	299.331917504	14.0	2025.8	0.172	2011.8	-63.7	shot
13	Spectrogram 2	1	468.846832512	469.961711998	0.0	14697.6	1.115	14697.6	-63.8	starting engine
14	Spectrogram 2	1	513.948994336	514.477742328	0.0	1508.9	0.529	1508.9	-56.4	shot
15	Spectrogram 2	1	563.335878718	563.553116265	0.0	1327.3	0.217	1327.3	-56.8	shot
16	Spectrogram 2	1	565.311510749	565.770578772	0.0	1585.7	0.459	1585.7	-58.7	shot
17	Spectrogram 2	1	565.807468167	566.221449153	0.0	1571.7	0.414	1571.7	-59.0	shot
18	Spectrogram 2	1	568.541382201	569.004549046	0.0	1508.9	0.463	1508.9	-59.2	shot
22	Spectrogram 2	1	576.484898539	576.718531373	0.0	2004.8	0.234	2004.8	-62.9	shot
23	Spectrogram 2	1	576.739025481	577.062832390	0.0	1683.5	0.324	1683.5	-61.6	shot
24	Spectrogram 2	1	579.034365599	579.349974865	0.0	1432.0	0.316	1432.0	-61.1	shot
25	Spectrogram 2	1	580.165640372	580.391075562	0.0	1613.7	0.225	1613.7	-60.5	shot
26	Spectrogram 2	1	581.305112788	581.571536194	0.0	1620.6	0.266	1620.6	-59.4	shot
27	Spectrogram 2	1	582.092086542	582.350312306	0.0	2165.5	0.258	2165.5	-61.9	shot
28	Spectrogram 2	1	583.301238926	583.514377651	0.0	3003.8	0.213	3003.8	-61.2	shot
29	Spectrogram 2	1	658.411800209	658.764298870	0.0	20915.6	0.352	20915.6	-45.4	slamming car door
30	Spectrogram 2	1	683.009382997	683.329091085	0.0	3528.5	0.320	3528.5	-64.8	shot
31	Spectrogram 2	1	687.272157503	687.411517438	0.0	1852.0	0.139	1852.0	-62.8	shot
32	Spectrogram 2	1	689.005959056	689.231394246	0.0	2125.8	0.225	2125.8	-52.2	shot
33	Spectrogram 2	1	692.444870412	692.739985570	0.0	2204.8	0.295	2204.8	-54.5	shot
34	Spectrogram 2	1	693.162164199	693.391698211	0.0	2283.9	0.230	2283.9	-64.3	shot
35	Spectrogram 2	1	694.055707316	694.260648398	0.0	1681.2	0.205	1681.2	-60.8	shot
36	Spectrogram 2	1	695.170586803	695.359132598	0.0	1799.8	0.189	1799.8	-61.1	shot
37	Spectrogram 2	1	696.006746417	696.228082786	0.0	1748.6	0.221	1748.6	-66.0	shot
38	Spectrogram 2	1	697.650373895	697.990576091	0.0	2400.6	0.340	2400.6	-67.8	shot
39	Spectrogram 2	1	700.179346846	700.490857291	0.0	1965.9	0.312	1965.9	-66.5	shot
40	Spectrogram 2	1	702.663232760	703.019830243	0.0	2608.1	0.357	2608.1	-62.0	shot
41	Spectrogram 2	1	714.697373095	714.910511820	0.0	2282.1	0.213	2282.1	-47.2	
